time_observed_at,time_zone,latitude,longitude
,Pacific Time (US & Canada),48.4267912408,-123.5458440647
,Pacific Time (US & Canada),48.526155005,-123.4121704102
,Pacific Time (US & Canada),48.5279739734,-123.4114837646
,Pacific Time (US & Canada),48.497175,-123.445967
2015-06-11 18:56:00 UTC,Pacific Time (US & Canada),48.565426,-123.471321
2015-07-13 19:11:33 UTC,Pacific Time (US & Canada),48.56498,-123.4692833333
2015-08-06 18:57:48 UTC,Pacific Time (US & Canada),48.5643166667,-123.4390633333
2016-04-10 00:25:51 UTC,Pacific Time (US & Canada),49.133644,-123.919537
,Pacific Time (US & Canada),48.519669,-123.423217
2016-04-28 23:26:41 UTC,Eastern Time (US & Canada),48.563577,-123.470626
2016-05-29 22:15:00 UTC,Pacific Time (US & Canada),48.559625,-123.458519
,Central Time (US & Canada),48.424604,-123.365233
2015-06-21 01:09:00 UTC,Pacific Time (US & Canada),48.5127624972,-123.5258746147
2016-11-22 22:24:36 UTC,Pacific Time (US & Canada),48.4611404149,-123.3114631216
2015-10-14 20:22:00 UTC,Eastern Time (US & Canada),48.5822533498,-123.4509658813
2017-04-26 18:27:00 UTC,Pacific Time (US & Canada),48.5098950733,-123.5254669189
2017-04-26 19:45:00 UTC,Pacific Time (US & Canada),48.5098950733,-123.5254669189
2017-04-30 15:56:00 UTC,Pacific Time (US & Canada),48.5760463558,-123.430853337
2017-04-30 14:09:00 UTC,Sydney,48.5101710253,-123.5250051507
2017-05-04 16:04:33 UTC,Pacific Time (US & Canada),48.62314028,-123.41999823
2017-05-04 17:08:37 UTC,Pacific Time (US & Canada),48.6237475,-123.4206224
2017-05-04 17:09:23 UTC,Pacific Time (US & Canada),48.6248340955,-123.422826156
2017-05-04 19:07:00 UTC,Pacific Time (US & Canada),48.5964711251,-123.4190426028
2017-05-04 17:27:00 UTC,Pacific Time (US & Canada),48.6234848968,-123.4292683484
2017-05-19 19:40:00 UTC,Arizona,48.563346,-123.445227
2017-06-03 21:14:21 UTC,Pacific Time (US & Canada),48.5345646,-123.4225838
2017-06-11 15:15:01 UTC,Pacific Time (US & Canada),48.580112907,-123.4263602948
2017-06-16 19:10:00 UTC,Pacific Time (US & Canada),48.5643361111,-123.4702222222
,Pacific Time (US & Canada),48.533644,-123.438349
2017-06-20 18:35:00 UTC,Pacific Time (US & Canada),48.5639143242,-123.4692406659
2017-06-20 18:35:00 UTC,Pacific Time (US & Canada),48.565457,-123.470262
2017-07-22 11:25:00 UTC,Pacific Time (US & Canada),48.4463446,-123.4049493
,UTC,48.5649360289,-123.4682607651
2017-08-11 01:50:39 UTC,Pacific Time (US & Canada),48.5787283333,-123.44967
2017-05-30 01:31:51 UTC,Pacific Time (US & Canada),48.4638633333,-123.3505466667
